link-href,title,genres,release_time,developer,publisher,description,price,reduced_price
https://store.steampowered.com/app/440900/Conan_Exiles/?snr=1_7_7_globaltopsellers_150_1,Conan Exiles,"[{""genres"":""Survival""},{""genres"":""Open World""},{""genres"":""Building""},{""genres"":""Nudity""},{""genres"":""Crafting""},{""genres"":""Open World Survival Craft""},{""genres"":""Multiplayer""},{""genres"":""RPG""},{""genres"":""Sandbox""},{""genres"":""Massively Multiplayer""},{""genres"":""Action""},{""genres"":""Adventure""},{""genres"":""Online Co-Op""},{""genres"":""Exploration""},{""genres"":""Violent""},{""genres"":""Singleplayer""},{""genres"":""Co-op""},{""genres"":""Fantasy""},{""genres"":""PvP""},{""genres"":""Gore""}]","8 May, 2018",Funcom,Funcom,"An online multiplayer survival game, now with mounts and mounted combat, set in the lands of Conan the Barbarian. Survive in a vast open world sandbox, build a home and kingdom, dominate your enemies in single or multiplayer.",null,¥ 38
https://store.steampowered.com/app/431960/Wallpaper_Engine/?snr=1_7_7_globaltopsellers_150_2,Wallpaper Engine,"[{""genres"":""Mature""},{""genres"":""Utilities""},{""genres"":""Software""},{""genres"":""Anime""},{""genres"":""Design & Illustration""},{""genres"":""Animation & Modeling""},{""genres"":""Casual""},{""genres"":""Memes""},{""genres"":""Indie""},{""genres"":""Early Access""},{""genres"":""Cute""},{""genres"":""Funny""},{""genres"":""Action""},{""genres"":""Singleplayer""},{""genres"":""Music""},{""genres"":""NSFW""},{""genres"":""Sandbox""},{""genres"":""Photo Editing""},{""genres"":""Game Development""},{""genres"":""Horror""}]",Nov-18,Wallpaper Engine Team,Wallpaper Engine Team,Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!,¥ 19,null
https://store.steampowered.com/app/1259420/Days_Gone/?snr=1_7_7_globaltopsellers_150_1,Days Gone,"[{""genres"":""Open World""},{""genres"":""Post-apocalyptic""},{""genres"":""Zombies""},{""genres"":""Singleplayer""},{""genres"":""Action""},{""genres"":""Survival""},{""genres"":""Action-Adventure""},{""genres"":""Adventure""},{""genres"":""Third Person""},{""genres"":""Motorbike""},{""genres"":""Horror""},{""genres"":""Multiplayer""},{""genres"":""Survival Horror""},{""genres"":""Open World Survival Craft""},{""genres"":""Crafting""},{""genres"":""Cinematic""},{""genres"":""Third-Person Shooter""},{""genres"":""Gore""},{""genres"":""Violent""},{""genres"":""Story Rich""}]","17 May, 2021",Bend Studio,null,"Ride and fight into a deadly, post pandemic America. Play as Deacon St. John, a drifter and bounty hunter who rides the broken road, fighting to survive while searching for a reason to live in this open-world action-adventure game.",¥ 279,null
https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_globaltopsellers_150_1,ARK: Survival Evolved,"[{""genres"":""Open World Survival Craft""},{""genres"":""Survival""},{""genres"":""Open World""},{""genres"":""Multiplayer""},{""genres"":""Dinosaurs""},{""genres"":""Crafting""},{""genres"":""Building""},{""genres"":""Adventure""},{""genres"":""Base Building""},{""genres"":""Co-op""},{""genres"":""Action""},{""genres"":""First-Person""},{""genres"":""Sandbox""},{""genres"":""Massively Multiplayer""},{""genres"":""Singleplayer""},{""genres"":""Early Access""},{""genres"":""RPG""},{""genres"":""Dragons""},{""genres"":""Sci-fi""},{""genres"":""Indie""}]","27 Aug, 2017",Studio Wildcard,Studio Wildcard,"Stranded on the shores of a mysterious island, you must learn to survive. Use your cunning to kill or tame the primeval creatures roaming the land, and encounter other players to survive, dominate... and escape!",null,¥ 27
https://store.steampowered.com/app/349040/NARUTO_SHIPPUDEN_Ultimate_Ninja_STORM_4/?snr=1_7_7_globaltopsellers_150_2,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,"[{""genres"":""Anime""},{""genres"":""Fighting""},{""genres"":""Action""},{""genres"":""Ninja""},{""genres"":""Multiplayer""},{""genres"":""Adventure""},{""genres"":""Story Rich""},{""genres"":""Singleplayer""},{""genres"":""Local Multiplayer""},{""genres"":""Third Person""},{""genres"":""Great Soundtrack""},{""genres"":""Fantasy""},{""genres"":""Open World""},{""genres"":""Atmospheric""},{""genres"":""Online Co-Op""},{""genres"":""Co-op""},{""genres"":""Beat 'em up""},{""genres"":""Local Co-Op""},{""genres"":""Memes""},{""genres"":""Heist""}]","4 Feb, 2016",CyberConnect2 Co. Ltd.,BANDAI NAMCO Entertainment,The latest opus in the acclaimed STORM series is taking you on a colourful and breathtaking ride. Take advantage of the totally revamped battle system and prepare to dive into the most epic fights you’ve ever seen !,null,¥ 38
https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2/?snr=1_7_7_globaltopsellers_150_1,Red Dead Redemption 2,"[{""genres"":""Open World""},{""genres"":""Adventure""},{""genres"":""Story Rich""},{""genres"":""Western""},{""genres"":""Action""},{""genres"":""Multiplayer""},{""genres"":""Shooter""},{""genres"":""Realistic""},{""genres"":""Third-Person Shooter""},{""genres"":""Singleplayer""},{""genres"":""Atmospheric""},{""genres"":""Horses""},{""genres"":""Beautiful""},{""genres"":""Great Soundtrack""},{""genres"":""Third Person""},{""genres"":""Sandbox""},{""genres"":""Mature""},{""genres"":""First-Person""},{""genres"":""Gore""},{""genres"":""FPS""}]","5 Dec, 2019",Rockstar Games,Rockstar Games,"Winner of over 175 Game of the Year Awards and recipient of over 250 perfect scores, RDR2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age. Also includes access to the shared living world of Red Dead Online.",null,¥ 166.83
https://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/?snr=1_7_7_globaltopsellers_150_2,PLAYERUNKNOWN'S BATTLEGROUNDS,"[{""genres"":""Survival""},{""genres"":""Shooter""},{""genres"":""Multiplayer""},{""genres"":""Battle Royale""},{""genres"":""FPS""},{""genres"":""PvP""},{""genres"":""Third-Person Shooter""},{""genres"":""Action""},{""genres"":""Online Co-Op""},{""genres"":""Tactical""},{""genres"":""Co-op""},{""genres"":""First-Person""},{""genres"":""Strategy""},{""genres"":""Early Access""},{""genres"":""Competitive""},{""genres"":""Third Person""},{""genres"":""Team-Based""},{""genres"":""Difficult""},{""genres"":""Simulation""},{""genres"":""Stealth""}]","21 Dec, 2017","KRAFTON, Inc.","KRAFTON, Inc.",PLAYERUNKNOWN'S BATTLEGROUNDS is a battle royale shooter that pits 100 players against each other in a struggle for survival. Gather supplies and outwit your opponents to become the last person standing.,¥ 98,null
https://store.steampowered.com/app/1086940/Baldurs_Gate_3/?snr=1_7_7_globaltopsellers_150_2,Baldur's Gate 3,"[{""genres"":""Early Access""},{""genres"":""RPG""},{""genres"":""Dungeons & Dragons""},{""genres"":""Choices Matter""},{""genres"":""Turn-Based""},{""genres"":""Story Rich""},{""genres"":""Character Customization""},{""genres"":""Party-Based RPG""},{""genres"":""CRPG""},{""genres"":""Co-op Campaign""},{""genres"":""Fantasy""},{""genres"":""Romance""},{""genres"":""Class-Based""},{""genres"":""Dark Fantasy""},{""genres"":""PvE""},{""genres"":""Narration""},{""genres"":""Stealth""},{""genres"":""Crafting""},{""genres"":""Combat""},{""genres"":""Dragons""}]","6 Oct, 2020",Larian Studios,Larian Studios,"Gather your party, and return to the Forgotten Realms in a tale of fellowship and betrayal, sacrifice and survival, and the lure of absolute power.",¥ 298,null
https://store.steampowered.com/app/107410/Arma_3/?snr=1_7_7_globaltopsellers_150_2,Arma 3,"[{""genres"":""Action""},{""genres"":""Multiplayer""},{""genres"":""Military""},{""genres"":""Simulation""},{""genres"":""Shooter""},{""genres"":""First-Person""},{""genres"":""Realistic""},{""genres"":""Open World""},{""genres"":""Tactical""},{""genres"":""FPS""},{""genres"":""War""},{""genres"":""Co-op""},{""genres"":""Strategy""},{""genres"":""Sandbox""},{""genres"":""Moddable""},{""genres"":""Combat""},{""genres"":""Online Co-Op""},{""genres"":""Singleplayer""},{""genres"":""Team-Based""},{""genres"":""Third-Person Shooter""}]","12 Sep, 2013",Bohemia Interactive,Bohemia Interactive,"Experience true combat gameplay in a massive military sandbox. Deploying a wide variety of single- and multiplayer content, over 20 vehicles and 40 weapons, and limitless opportunities for content creation, this is the PC’s premier military game. Authentic, diverse, open - Arma 3 sends you to war.",null,¥ 29
https://store.steampowered.com/app/1113410/ARK_Genesis_Season_Pass/?snr=1_7_7_globaltopsellers_150_2,ARK: Genesis Season Pass,"[{""genres"":""Adventure""},{""genres"":""Massively Multiplayer""},{""genres"":""Action""},{""genres"":""RPG""},{""genres"":""Survival""},{""genres"":""Indie""},{""genres"":""Open World""},{""genres"":""Dinosaurs""},{""genres"":""Multiplayer""},{""genres"":""Violent""},{""genres"":""Base Building""},{""genres"":""Crafting""},{""genres"":""Singleplayer""},{""genres"":""Sandbox""},{""genres"":""Building""},{""genres"":""Sci-fi""},{""genres"":""Open World Survival Craft""},{""genres"":""Dragons""},{""genres"":""Co-op""}]","8 Aug, 2019",Studio Wildcard,Snail Games USA,null,null,¥ 87
